ID_LABEL1,Date Ordered,ID #,Format,Pub Status,Pub Status Description,SRDP,Order Disc Class,Product Class,Quantity Ordered,Order Price,Disc Pct,Line Amount
124,8/3/17,2,C,1,Active Title,,124ND,UCTECH,5,72,0,360
124,11/24/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/3/17,2,C,1,Active Title,,124ND,UCTECH,5,72,0,360
124,2/7/19,2,C,1,Active Title,,124ND,UCTECH,5,72,,360
124,7/7/17,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,11/24/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/17/18,2,C,1,Active Title,,124ND,UCTECH,6,72,0,432
124,8/24/17,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,5/22/18,2,C,1,Active Title,,124ND,UCTECH,70,72,0,"5,040.00"
124,5/2/18,2,C,1,Active Title,,124ND,UCTECH,20,72,0,"1,440.00"
124,2/8/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/7/17,2,C,1,Active Title,,124ND,UCTECH,10,72,,720
124,2/8/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/21/16,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,2/8/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/19/15,2,C,1,Active Title,,124ND,UCTECH,-1,72,,-72
124,5/9/16,2,C,1,Active Title,,124ND,UCTECH,50,72,,"3,600.00"
124,11/7/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/27/16,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,11/7/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/7/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/12/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/19/18,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,8/3/18,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,7/17/18,2,C,1,Active Title,,124ND,UCTECH,20,72,0,"1,440.00"
124,7/19/18,2,C,1,Active Title,,124ND,UCTECH,8,72,,576
124,8/18/16,2,C,1,Active Title,,124ND,UCTECH,50,72,0,"3,600.00"
124,8/13/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/8/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,12/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/3/17,2,C,1,Active Title,,124ND,UCTECH,325,72,100,0
124,8/24/15,2,C,1,Active Title,,124ND,UCTECH,12,72,0,864
124,8/24/15,2,C,1,Active Title,,124ND,UCTECH,18,72,0,"1,296.00"
124,7/31/17,2,C,1,Active Title,,124ND,UCTECH,6,72,0,432
124,8/22/17,2,C,1,Active Title,,124ND,UCTECH,20,72,100,0
124,10/4/18,2,C,1,Active Title,,124ND,UCTECH,-1,72,0,-72
124,10/4/18,2,C,1,Active Title,,124ND,UCTECH,-1,72,0,-72
124,10/4/18,2,C,1,Active Title,,124ND,UCTECH,-1,72,0,-72
124,3/30/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/18/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,3/20/19,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,3/30/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/6/15,2,C,1,Active Title,,124ND,UCTECH,1,72,,72
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/6/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/6/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,4/28/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/12/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/12/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/19/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/19/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/24/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/19/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/11/15,2,C,1,Active Title,,124ND,UCTECH,1,72,,72
124,12/14/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/14/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/28/19,2,C,1,Active Title,,124ND,UCTECH,8,72,0,576
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/9/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/16/16,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,5/19/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/19/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/19/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/16/16,2,C,1,Active Title,,124ND,UCTECH,-96,72,0,"-6,912.00"
124,9/16/16,2,C,1,Active Title,,124ND,UCTECH,-4,72,0,-288
124,7/24/17,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,7/27/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,2/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,2/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/31/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,2/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,2/26/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/9/15,2,C,1,Active Title,,124ND,UCTECH,15,72,0,"1,080.00"
124,3/13/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/27/17,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,3/13/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/8/15,2,C,1,Active Title,,124ND,UCTECH,10,72,,720
124,12/4/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,4/10/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,1/22/19,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/1/18,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,3/5/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/15/16,2,C,1,Active Title,,124ND,UCTECH,12,72,0,864
124,8/24/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,11/11/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/2/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,3/27/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/6/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/9/17,2,C,1,Active Title,,124ND,UCTECH,60,72,100,0
124,7/6/15,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,8/28/18,2,C,1,Active Title,,124ND,UCTECH,55,72,100,0
124,11/8/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/10/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/15/16,2,C,1,Active Title,,124ND,UCTECH,100,72,0,"7,200.00"
124,8/20/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,7/6/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/15/16,2,C,1,Active Title,,124ND,UCTECH,3,72,0,216
124,7/19/16,2,C,1,Active Title,,124ND,UCTECH,28,72,0,"2,016.00"
124,10/24/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/19/15,2,C,1,Active Title,,124ND,UCTECH,20,72,0,"1,440.00"
124,3/7/19,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/10/17,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,9/17/15,2,C,1,Active Title,,124ND,UCTECH,6,72,,432
124,7/26/16,2,C,1,Active Title,,124ND,UCTECH,55,72,0,"3,960.00"
124,8/20/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,10/19/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/5/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,10/6/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/9/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/22/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,12/19/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/26/16,2,C,1,Active Title,,124ND,UCTECH,15,72,,"1,080.00"
124,12/19/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/8/16,2,C,1,Active Title,,124ND,UCTECH,25,72,0,"1,800.00"
124,12/19/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/19/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/6/17,2,C,1,Active Title,,124ND,UCTECH,10,72,0,720
124,4/28/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/11/15,2,C,1,Active Title,,124ND,UCTECH,-1,72,0,-72
124,8/7/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,6/29/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,9/6/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,4/26/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,1/13/17,2,C,1,Active Title,,124ND,UCTECH,2,72,0,144
124,6/15/16,2,C,1,Active Title,,124ND,UCTECH,-100,72,0,"-7,200.00"
124,7/12/16,2,C,1,Active Title,,124ND,UCTECH,30,72,0,"2,160.00"
124,11/15/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,11/29/17,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,5/7/18,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/27/16,2,C,1,Active Title,,124ND,UCTECH,21,72,0,"1,512.00"
124,2/22/19,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,7/7/16,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,12/21/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,12/21/15,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,8/2/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,8/17/18,2,C,1,Active Title,,124ND,UCTECH,3,72,,216
124,8/10/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
124,7/14/15,2,C,1,Active Title,,124ND,UCTECH,1,72,,72
124,6/8/16,2,C,1,Active Title,,124ND,UCTECH,1,72,100,0
124,6/28/16,2,C,1,Active Title,,124ND,UCTECH,100,72,0,"7,200.00"
124,7/9/18,2,C,1,Active Title,,124ND,UCTECH,65,72,0,"4,680.00"
124,8/10/18,2,C,1,Active Title,,124ND,UCTECH,1,72,0,72
